dataset,hop,n,avg_gold_answer_count,final_answer_em,final_answer_f1,gold_all_in_context_rate,gold_any_in_context_rate,gold_all_in_graph_rate,gold_any_in_graph_rate,gold_all_in_retrieval_rate,gold_any_in_retrieval_rate,avg_evidence_count,avg_evidence_support_ratio,unsupported_evidence_rate
GraphRAG Gold,1,2000,1.8305,1.0,1.0,1.0,1.0,0.999,0.999,0.7535,0.884,0.0,,0.0
GraphRAG Gold,2,2000,6.1895,1.0,1.0,0.743,0.9015,0.743,0.8995,0.0375,0.063,0.0,,0.0
GraphRAG Gold,3,2000,13.16,1.0,1.0,0.073,0.5055,0.0575,0.4505,0.0635,0.4315,0.0,,0.0
GraphRAG Hybrid,1,600,1.7733333333333334,1.0,1.0,0.9966666666666667,1.0,0.9966666666666667,1.0,0.6666666666666666,0.8433333333333334,2.138333333333333,0.9449305555555556,0.08666666666666667
GraphRAG Hybrid,2,600,6.475,1.0,1.0,0.6633333333333333,0.8616666666666667,0.6633333333333333,0.86,0.021666666666666667,0.03666666666666667,3.6466666666666665,0.8182258751239014,0.2783333333333333
GraphRAG Hybrid,3,600,12.945,1.0,1.0,0.05,0.48333333333333334,0.045,0.4533333333333333,0.041666666666666664,0.3516666666666667,4.733333333333333,0.8042010001075387,0.2966666666666667
RAG Gold,1,500,1.808,1.0,1.0,0.764,0.892,0.0,0.0,0.764,0.892,0.0,,0.0
RAG Gold,2,500,6.428,1.0,1.0,0.038,0.064,0.0,0.0,0.038,0.064,0.0,,0.0
RAG Gold,3,500,13.11,1.0,1.0,0.048,0.454,0.0,0.0,0.048,0.454,0.0,,0.0
