model,params,family,training,retrieval,source,sample_note,1hop_EM,2hop_EM,3hop_EM,overall_EM,results_path,1hop_F1,1hop_latency_ms,2hop_F1,2hop_latency_ms,3hop_F1,3hop_latency_ms,overall_F1,n_samples,examples_path,model_label,1hop_F1_minus_EM,2hop_F1_minus_EM,3hop_F1_minus_EM
DistilBERT baseline,66M,baseline,extractive,reader context,README table,reported benchmark,0.4485,0.649,0.059,,,,,,,,,,,,DistilBERT,,,
Qwen2.5-3B Instruct base,3B,base,none,GraphRAG,eval_results.json,n=200 per hop,0.375,0.34,0.025,0.2467,results/qwen2.5-eval/eval_results.json,0.7496,585.55,0.6067,801.38,0.1799,981.16,0.5121,200.0,,Base 3B,0.37460000000000004,0.2667,0.1549
Qwen2.5-1.5B RAG only Gold,1.5B,student,gold,RAG only,README table,reported benchmark,0.72,0.025,0.02,0.255,,,,,,,,,,,RAG 1.5B,,,
Qwen2.5-0.5B GraphRAG Gold,0.5B,student,gold,GraphRAG,README table,reported benchmark,0.756,0.478,0.056,0.43,,,,,,,,,,,Gold 0.5B,,,
Qwen2.5-1.5B GraphRAG Gold,1.5B,student,gold,GraphRAG,README table,reported benchmark,0.778,0.544,0.054,0.459,,,,,,,,,,,Gold 1.5B,,,
Qwen2.5-3B GraphRAG Gold,3B,student,gold,GraphRAG,README table,reported benchmark,0.832,0.586,0.05,0.489,,,,,,,,,,,Gold 3B,,,
Qwen2.5-0.5B GraphRAG Hybrid,0.5B,student,hybrid,GraphRAG,eval_results.json,n=500 per hop,0.434,0.34,0.03,0.268,results/qwen2.5-0.5b-graphrag-hybrid/eval_results.json,0.6037,4167.56,0.5409,5179.83,0.2027,7409.85,0.4491,500.0,results/qwen2.5-0.5b-graphrag-hybrid/eval_examples.json,Hybrid 0.5B,0.16970000000000002,0.20090000000000002,0.1727
Qwen2.5-1.5B GraphRAG Hybrid,1.5B,student,hybrid,GraphRAG,eval_results.json,n=500 per hop,0.656,0.454,0.028,0.3793,results/qwen2.5-1.5b-graphrag-hybrid/eval_results.json,0.8241,3973.54,0.6462,5797.0,0.1917,9129.26,0.554,500.0,results/qwen2.5-1.5b-graphrag-hybrid/eval_examples.json,Hybrid 1.5B,0.16810000000000003,0.19219999999999998,0.1637
Qwen2.5-3B GraphRAG Hybrid,3B,student,hybrid,GraphRAG,eval_results.json,n=500 per hop,0.824,0.556,0.042,0.474,results/qwen2.5-3b-graphrag-hybrid/eval_results.json,0.9088,6881.07,0.6986,6646.96,0.2381,8377.77,0.6152,500.0,results/qwen2.5-3b-graphrag-hybrid/eval_examples.json,Hybrid 3B,0.0848000000000001,0.14259999999999995,0.1961
